Date,Price,Open,High,Low,Vol.,Change %
2024-11-17,"90,098.90","90,569.40","91,441.60","89,387.70",67.69K,-0.49%
2024-11-16,"90,539.10","91,035.30","91,748.90","90,079.00",79.82K,-0.56%
2024-11-15,"91,046.50","87,297.20","91,833.10","87,118.80",158.19K,4.30%
2024-11-14,"87,294.00","90,424.80","91,726.70","86,740.20",153.34K,-3.46%
2024-11-13,"90,422.20","87,971.20","93,226.60","86,168.40",257.57K,2.82%
2024-11-12,"87,941.30","88,665.00","89,929.60","85,122.20",288.68K,-0.82%
2024-11-11,"88,664.10","80,389.00","89,519.00","80,231.80",254.04K,10.29%
2024-11-10,"80,388.50","76,681.40","81,373.50","76,520.50",193.83K,4.81%
2024-11-09,"76,700.30","76,506.10","76,904.00","75,732.50",72.97K,0.24%
2024-11-08,"76,517.30","75,869.80","77,188.50","75,599.00",155.17K,0.85%
2024-11-07,"75,868.60","75,585.50","76,837.80","74,448.20",184.16K,0.37%
2024-11-06,"75,586.30","69,374.10","76,401.40","69,323.00",357.28K,8.96%
2024-11-05,"69,373.70","67,848.30","70,495.60","67,473.60",108.95K,2.25%
2024-11-04,"67,848.80","68,770.30","69,483.40","66,834.00",101.31K,-1.34%
2024-11-03,"68,769.60","69,334.80","69,383.60","67,514.20",83.16K,-0.80%
2024-11-02,"69,325.80","69,499.30","69,896.90","69,029.00",38.72K,-0.26%
2024-11-01,"69,507.20","70,278.70","71,598.40","68,846.00",130.46K,-1.10%
2024-10-31,"70,281.80","72,343.70","72,685.70","69,674.50",111.29K,-2.86%
2024-10-30,"72,347.80","72,732.50","72,907.40","71,460.00",99.05K,-0.53%
2024-10-29,"72,730.40","69,957.20","73,569.40","69,753.20",168.60K,3.97%
2024-10-28,"69,954.10","68,011.90","70,203.40","67,610.00",103.97K,2.87%
2024-10-27,"68,004.60","67,084.70","68,308.00","66,924.60",33.58K,1.37%
2024-10-26,"67,086.80","66,694.50","67,408.40","66,443.80",42.05K,0.58%
2024-10-25,"66,696.80","68,191.90","68,756.80","65,644.20",110.51K,-2.19%
2024-10-24,"68,191.50","66,659.20","68,831.80","66,510.60",82.78K,2.29%
2024-10-23,"66,663.70","67,428.60","67,441.10","65,246.70",84.99K,-1.13%
2024-10-22,"67,427.30","67,370.80","67,815.30","66,609.40",86.76K,0.08%
2024-10-21,"67,371.30","69,030.50","69,490.80","66,845.50",109.28K,-2.40%
2024-10-20,"69,030.50","68,373.30","69,386.40","67,443.90",44.92K,0.96%
2024-10-19,"68,372.00","68,426.40","68,688.80","68,025.50",33.29K,-0.07%
2024-10-18,"68,423.10","67,416.50","68,990.30","67,190.90",99.20K,1.49%
2024-10-17,"67,418.40","67,618.10","67,933.50","66,677.30",84.68K,-0.30%
