Economy Name,Income share held by lowest decile (%),GDPPC
Albania,,4.276311551
United Arab Emirates,,0.517239889
Argentina,1.62,-3.601609757
Armenia,,5.769882149
Australia,,1.378345353
Austria,2.89,1.92771306
Belgium,3.59,1.330652227
Bulgaria,1.88,3.439130063
Belarus,,3.37043437
Belize,,-0.894543697
Bolivia,1.71,2.684797339
Brazil,0.95,0.978938493
Canada,2.88,1.280926579
Switzerland,2.89,2.10552472
Chile,,2.139078181
China,,6.251700556
Colombia,1.24,0.638439616
Costa Rica,1.59,1.661308308
Cyprus,3.5,4.366759795
Czechia,4.16,2.875468527
Germany,3.06,0.678212594
Denmark,3.8,1.485085157
Dominican Republic,2.32,5.807049827
Ecuador,1.6,-0.84840938
Spain,2.03,1.837460464
Estonia,2.98,3.423619058
Finland,3.78,1.00565417
France,3.06,1.500539123
United Kingdom,2.82,0.791214735
Greece,2.5,1.874903163
Guatemala,,1.765136399
Guyana,,1.480986515
Honduras,1.24,2.084618588
Croatia,2.98,3.907642872
Haiti,,0.293353843
Hungary,3.08,5.496018792
Ireland,3.53,7.134773397
Iceland,,2.11737324
Israel,1.8,2.084470629
Italy,2.08,1.11781662
Japan,,0.771168471
Kazakhstan,,2.740536373
Kyrgyz Republic,,1.713209117
"Korea, Rep.",,2.462246216
St. Lucia,,2.467453858
Lithuania,2.63,4.990353856
Luxembourg,2.85,-0.714325922
Latvia,2.6,4.803913925
Mexico,,1.006248819
North Macedonia,1.88,3.403754111
Malta,3.15,3.730076267
Montenegro,2.07,5.102544398
Malaysia,,3.472766705
Nicaragua,,-4.712051831
Netherlands,3.36,1.764937264
Norway,3.36,0.165530155
Nepal,,6.401863283
Panama,1.19,1.963037727
Peru,1.86,2.037249793
Philippines,,4.548700918
Poland,3.4,5.945420508
Portugal,2.83,3.01412373
Paraguay,1.79,1.795951631
Romania,1.73,6.653765808
Russian Federation,,2.716592717
El Salvador,2.44,2.25436301
Serbia,2.12,5.067594881
Suriname,,3.860103265
Slovak Republic,3.56,3.886398879
Slovenia,4.22,4.076316305
Sweden,2.94,0.772577449
Seychelles,,3.94280693
Trinidad and Tobago,,-2.32670153
Turkiye,1.94,1.62818524
Ukraine,,4.016381776
Uruguay,2.27,0.022997796
United States,1.76,2.425877219
"Venezuela, RB",,
