Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh",BTC / USD Denominated Closing Price,BTC / Active Addr Cnt,BTC / Tx per Second Cnt,BTC / 30 Day Volatility,BTC / Mean Tx Size (USD),BTC / Miner Supply (USD),BTC / Val in Addrs w/ Bal ? $1M USD,BTC / 30 Day Active Supply,BTC / SER (Supply Equality Ratio),BTC / Miner Revenue per Hash (USD),BTC / Miner Revenue per Hash per Sec (USD),BTC / Total Issuance (USD),"BTC / Mean Hash Rate, 30 Day",BTC / Mean Hash Rate,BTC / Mean Tx Fee (USD),BTC / Mean Difficulty,BTC / Difficulty,BTC / Market Cap (USD),BTC / Mean Block Size (in bytes),BTC / Addr Cnt of Bal ? $1M,BTC / Miner Revenue (USD)
1279411200,2010-07-18T00:00:00,2.666175316136136e-05,2.244030891081248e-05,2.4439939527450977e-05,0.000233717,0.000196712,0.000214241,0.08584,860,0.00287037,,4.187596016,204478.2236,0,469147.65,4.9524E-05,5.505028156,475634.4327,738.224,0.000445677,0.001552225,0.000273442,181.5432894,181.5432894,295959.152,795.8662791,0,738.2918136
1279497600,2010-07-19T00:00:00,2.6816763943352878e-05,2.2570776318988676e-05,2.4582032739215682e-05,0.000235076,0.000197855,0.000215486,0.0808,929,0.003865741,,7.025653109,192335.1355,0,478922.86,5.39108E-05,5.181360378,447669.5366,702.96,0.000493699,0.001570274,1.20958E-05,181.5432894,181.5432894,279285.2,800.3103448,0,702.96404
1279584000,2010-07-20T00:00:00,2.7230124311016476e-05,2.2918687961772202e-05,2.4960946396078426e-05,0.000238699,0.000200905,0.000218808,0.074735729,936,0.004895833,,3.178423456,178090.4011,0,445805.2,5.72692E-05,4.792456913,414068.2773,676.3583458,0.000542819,0.001633446,0,181.5432894,181.5432894,259000.405,1090.745856,0,676.3583458
1279670400,2010-07-21T00:00:00,2.8444370713087138e-05,2.394067868351501e-05,2.607400555833333e-05,0.000249343,0.000209864,0.000228565,0.079192863,784,0.002858796,,5.687816249,188679.7813,0,443676.9,5.80082E-05,5.078272309,438762.7275,819.6461285,0.000600653,0.001868085,0,181.5432894,181.5432894,275266.4713,603.821256,0,819.6461285
1279756800,2010-07-22T00:00:00,2.8211855484805772e-05,2.3744978366378196e-05,2.5860866606666663e-05,0.000247305,0.000208148,0.000226696,0.05846976,594,0.00255787,,6.590396944,139621.9966,0,450210.92,6.09314E-05,3.749395527,323947.7735,514.5338913,0.000649105,0.001588324,0,181.5432894,181.5432894,203749.574,572.4431818,0,514.5338913
1279843200,2010-07-23T00:00:00,2.8521875960945635e-05,2.4005912267129244e-05,2.6145052033006536e-05,0.000250023,0.000210436,0.000229188,0.06059287,655,0.002546296,,3.826933506,144922.0974,0,452798.71,6.29388E-05,3.88554472,335711.0638,587.7508358,0.000702078,0.001750766,2.75422E-06,181.5432894,181.5432894,211735.7238,530.9329897,0,587.7514417
1279929600,2010-07-24T00:00:00,2.8632597416429758e-05,2.409910282549505e-05,2.6246546696918762e-05,0.000250993,0.000211253,0.000230077,0.05454,959,0.008101852,,2.130172017,130513.4101,0,482558.73,6.45719E-05,3.497398155,302175.2006,515.403,0.000753793,0.001705643,0,181.5432894,181.5432894,191099.979,1519.539683,0,515.403
1280016000,2010-07-25T00:00:00,2.993911220245896e-05,2.5198752770402963e-05,2.744418520812325e-05,0.000262446,0.000220892,0.000240576,0.050540618,2130,0.018414352,,0.762872672,121008.796,0,489630.88,6.6454E-05,3.24175284,280087.4453,583.744142,0.000818459,0.002084675,9.24407E-05,181.5432894,181.5432894,177670.4898,3224.285714,0,583.8912152
1280102400,2010-07-26T00:00:00,3.1467069490492796e-05,2.648478348783144e-05,2.8844812672268906e-05,0.00027584,0.000232166,0.000252854,0.056,1250,0.002627315,,14.41546036,132915.2653,0,530059.75,6.617E-05,3.591464544,310302.5366,680.4,0.000886446,0.00219297,0.000370044,181.5432894,181.5432894,197542.8,1003.164609,0,680.484
1280188800,2010-07-27T00:00:00,3.234271396873896e-05,2.722178425702196e-05,2.9647486748739492e-05,0.000283516,0.000238626,0.00025989,0.058622016,775,0.002997685,,4.810002536,139068.2778,0,520441.09,6.81038E-05,2.829705758,244486.5775,486.5627358,0.000947066,0.001990302,0.000151648,241.1929853,244.2132231,207278.6566,764.1084337,0,486.6020126
1280275200,2010-07-28T00:00:00,3.24952407876168e-05,2.735016099624414e-05,2.9787302994397758e-05,0.000284853,0.000239752,0.000261115,0.058911099,664,0.033101852,,13.56227834,139783.5712,0,526255.93,7.02209E-05,2.808635925,242666.1439,468.3432352,0.00100652,0.001930245,2.16282E-05,244.2132231,244.2132231,208769.1518,4922.289308,0,468.4050919
1280361600,2010-07-29T00:00:00,3.3959803155745684e-05,2.858283432275261e-05,3.112981845070028e-05,0.000297692,0.000250557,0.000272884,0.0699,534,0.007164352,,4.934912441,166347.2686,0,525289.02,7.25052E-05,3.332430404,287921.9869,629.1,0.001073925,0.002185183,0.000100502,244.2132231,244.2132231,248340.72,1125.455556,0,629.162211
1280448000,2010-07-30T00:00:00,3.508534516894272e-05,2.9530165517193454e-05,3.2161565259383747e-05,0.000307558,0.000258861,0.000281928,0.064657382,582,0.001631944,,5.74499436,153974.4052,0,528574.98,7.33703E-05,3.082289298,266309.7953,588.382173,0.001141722,0.002209463,0.000137569,244.2132231,244.2132231,230303.1277,613.6813187,0,588.4015702
1280534400,2010-07-31T00:00:00,3.694717134281735e-05,3.1097202546871274e-05,3.386823919131653e-05,0.000323879,0.000272598,0.000296889,0.067545799,479,0.001087963,,7.095332368,161150.0093,0,532825.62,7.43591E-05,3.219975555,278205.8879,685.5898593,0.001217084,0.002464401,0.000222757,244.2132231,244.2132231,241276.9711,473.08867,0,685.6107985
