name,total_thefts
Aviation Security (SO18) (Legacy Only),18
Barking and Dagenham,1289
Barnet,1607
Bexley,276
Brent,3015
Bromley,1002
Camden,18446
Croydon,1351
Ealing,1763
Enfield,2103
Greenwich,1619
Hackney,11166
Hammersmith and Fulham,2076
Haringey,5426
Harrow,1489
Havering,736
Hillingdon,1011
Hounslow,1335
Islington,9398
Kensington and Chelsea,5264
Kingston upon Thames,1203
Lambeth,8818
Lewisham,2426
Merton,520
N/K (Legacy Only),5561
Newham,8729
Non MET police force,341
Redbridge,2604
Richmond upon Thames,379
Southwark,13955
Sutton,400
Tower Hamlets,6807
Waltham Forest,2805
Wandsworth,2127
Westminster,60431
