code,name,total_thefts
E09000002,Barking and Dagenham,1289
E09000003,Barnet,1607
E09000004,Bexley,276
E09000005,Brent,3015
E09000006,Bromley,1002
E09000007,Camden,18446
E09000008,Croydon,1351
E09000009,Ealing,1763
E09000010,Enfield,2103
E09000011,Greenwich,1619
E09000012,Hackney,11166
E09000013,Hammersmith and Fulham,2076
E09000014,Haringey,5426
E09000015,Harrow,1489
E09000016,Havering,736
E09000017,Hillingdon,1011
E09000018,Hounslow,1335
E09000019,Islington,9398
E09000020,Kensington and Chelsea,5264
E09000021,Kingston upon Thames,1203
E09000022,Lambeth,8818
E09000023,Lewisham,2426
E09000024,Merton,520
E09000025,Newham,8729
E09000026,Redbridge,2604
E09000027,Richmond upon Thames,379
E09000028,Southwark,13955
E09000029,Sutton,400
E09000030,Tower Hamlets,6807
E09000031,Waltham Forest,2805
E09000032,Wandsworth,2127
E09000033,Westminster,60431
SO18,Aviation Security (SO18) (Legacy Only),18
