code,name,total_thefts
E09000002,Barking and Dagenham,232
E09000003,Barnet,305
E09000004,Bexley,58
E09000005,Brent,419
E09000006,Bromley,284
E09000007,Camden,2448
E09000008,Croydon,276
E09000009,Ealing,313
E09000010,Enfield,387
E09000011,Greenwich,156
E09000012,Hackney,2411
E09000013,Hammersmith and Fulham,393
E09000014,Haringey,879
E09000015,Harrow,301
E09000016,Havering,156
E09000017,Hillingdon,245
E09000018,Hounslow,222
E09000019,Islington,2042
E09000020,Kensington and Chelsea,652
E09000021,Kingston upon Thames,261
E09000022,Lambeth,1149
E09000023,Lewisham,296
E09000024,Merton,104
E09000025,Newham,1495
E09000026,Redbridge,516
E09000027,Richmond upon Thames,87
E09000028,Southwark,1757
E09000029,Sutton,91
E09000030,Tower Hamlets,1154
E09000031,Waltham Forest,424
E09000032,Wandsworth,470
E09000033,Westminster,5783
